OF,PCC (Pa),Tcc (K),Gamma,MW,,,,,,,,,,
1,689475.7293,1471.9,1.2761,14.976,,,,,,,,,,
1,1034213.594,1483.8,1.269,15.029,,,,,,,,,,
1,1378951.459,1494,1.2639,15.077,,,,,,,,,,
1,1723689.323,1503,1.26,15.12,,,,,,,,,,
1,2068427.188,1511.1,1.2568,15.16,,,,,,,,,,
1,2413165.053,1518.5,1.2542,15.197,,,,,,,,,,
1,2757902.917,1525.3,1.2521,15.232,,,,,,,,,,
1,3102640.782,1531.5,1.2502,15.265,,,,,,,,,,
1,3447378.647,1537.4,1.2485,15.296,,,,,,,,,,
2,689475.7293,3182.8,1.1473,21.382,,,,,,,,,,
2,1034213.594,3222.7,1.1513,21.458,,,,,,,,,,
2,1378951.459,3250.3,1.1541,21.511,,,,,,,,,,
2,1723689.323,3271.3,1.1564,21.551,,,,,,,,,,
2,2068427.188,3288.1,1.1583,21.583,,,,,,,,,,
2,2413165.053,3302,1.1599,21.61,,,,,,,,,,
2,2757902.917,3313.9,1.1613,21.632,,,,,,,,,,
2,3102640.782,3324.2,1.1626,21.652,,,,,,,,,,
2,3447378.647,3333.3,1.1637,21.67,,,,,,,,,,
3,689475.7293,3357.5,1.1203,24.764,,,,,,,,,,
3,1034213.594,3415.8,1.1222,24.898,,,,,,,,,,
3,1378951.459,3457.9,1.1236,24.995,,,,,,,,,,
3,1723689.323,3490.9,1.1246,25.071,,,,,,,,,,
3,2068427.188,3518.1,1.1255,25.134,,,,,,,,,,
3,2413165.053,3541.2,1.1262,25.188,,,,,,,,,,
3,2757902.917,3561.3,1.1268,25.236,,,,,,,,,,
3,3102640.782,3579.2,1.1273,25.278,,,,,,,,,,
3,3447378.647,3595.3,1.1278,25.316,,,,,,,,,,
4,689475.7293,3294.9,1.118,26.856,,,,,,,,,,
4,1034213.594,3349.9,1.1198,26.993,,,,,,,,,,
4,1378951.459,3389.5,1.1211,27.092,,,,,,,,,,
4,1723689.323,3420.5,1.1221,27.171,,,,,,,,,,
4,2068427.188,3446.1,1.1229,27.235,,,,,,,,,,
4,2413165.053,3467.8,1.1236,27.291,,,,,,,,,,
4,2757902.917,3486.8,1.1242,27.339,,,,,,,,,,
4,3102640.782,3503.5,1.1248,27.382,,,,,,,,,,
4,3447378.647,3518.6,1.1252,27.421,,,,,,,,,,
5,689475.7293,3204.8,1.1186,28.324,,,,,,,,,,
5,1034213.594,3254.3,1.1205,28.453,,,,,,,,,,
5,1378951.459,3289.8,1.1219,28.547,,,,,,,,,,
5,1723689.323,3317.5,1.1229,28.62,,,,,,,,,,
5,2068427.188,3340.2,1.1238,28.68,,,,,,,,,,
5,2413165.053,3359.5,1.1245,28.732,,,,,,,,,,
5,2757902.917,3376.2,1.1252,28.777,,,,,,,,,,
5,3102640.782,3391,1.1257,28.816,,,,,,,,,,
5,3447378.647,3404.3,1.1263,28.852,,,,,,,,,,
6,689475.7293,3107.5,1.1211,29.393,,,,,,,,,,
6,1034213.594,3150.9,1.1232,29.509,,,,,,,,,,
6,1378951.459,3181.8,1.1247,29.593,,,,,,,,,,
6,1723689.323,3205.8,1.1259,29.658,,,,,,,,,,
6,2068427.188,3225.4,1.1269,29.711,,,,,,,,,,
6,2413165.053,3242,1.1277,29.756,,,,,,,,,,
6,2757902.917,3256.3,1.1285,29.796,,,,,,,,,,
6,3102640.782,3268.9,1.1291,29.83,,,,,,,,,,
6,3447378.647,3280.2,1.1297,29.861,,,,,,,,,,
7,689475.7293,3006.2,1.1256,30.181,,,,,,,,,,
7,1034213.594,3043.4,1.128,30.281,,,,,,,,,,
7,1378951.459,3069.5,1.1298,30.353,,,,,,,,,,
7,1723689.323,3089.7,1.1311,30.408,,,,,,,,,,
7,2068427.188,3106,1.1323,30.453,,,,,,,,,,
7,2413165.053,3119.8,1.1332,30.491,,,,,,,,,,
7,2757902.917,3131.6,1.1341,30.524,,,,,,,,,,
7,3102640.782,3142,1.1348,30.552,,,,,,,,,,
7,3447378.647,3151.2,1.1355,30.578,,,,,,,,,,
8,689475.7293,2901.3,1.1323,30.761,,,,,,,,,,
8,1034213.594,2932,1.1351,30.844,,,,,,,,,,
8,1378951.459,2953.3,1.1372,30.902,,,,,,,,,,
8,1723689.323,2969.6,1.1388,30.947,,,,,,,,,,
8,2068427.188,2982.8,1.1401,30.983,,,,,,,,,,
8,2413165.053,2993.7,1.1413,31.013,,,,,,,,,,
8,2757902.917,3003.1,1.1423,31.039,,,,,,,,,,
8,3102640.782,3011.3,1.1431,31.062,,,,,,,,,,
8,3447378.647,3018.5,1.1439,31.082,,,,,,,,,,
